Cm0_caa_gly,Cm2_caa_gly,Cm4_caa_gly,Cm8_caa_gly,Cm12_caa_gly,Cm0_caa_glu,Cm2_caa_glu,Cm4_caa_glu,Cm8_caa_glu,Cm12_caa_glu,Cm0_gly,Cm2_gly,Cm4_gly,Cm8_gly,Cm12_gly,Cm0_glu,Cm2_glu,Cm4_glu,Cm8_glu,Cm12_glu
631.3673,219.866,384.9511,214.3953,542.6291,327.4004,467.3008,794.1381,416.2139,885.734,287.4809,200.5025,666.6348,575.5506,146.1515,428.4045,235.0237,370.628,371.6169,542.6291
593.767,1143.736,923.6913,586.3378,190.9062,662.1687,517.0543,739.3276,467.6597,812.3098,271.4891,519.4732,707.6935,282.1974,668.4605,500.6934,448.7201,400.1758,387.041,190.9062
346.9548,311.1005,189.9237,520.434,216.8976,588.424,573.3611,523.9251,1024.502,871.1294,554.8804,148.407,759.4172,158.6557,749.2673,452.9488,73.26128,275.0321,403.5352,216.8976
420.1095,298.3216,912.8664,885.3322,446.4097,909.2568,783.611,486.1041,475.666,704.4958,513.8511,233.2331,177.651,497.5512,208.9329,164.4019,65.10307,366.2579,131.6528,446.4097
651.8442,137.0149,263.1847,330.6783,675.7673,542.2528,287.6671,267.0369,604.0965,831.0365,402.6887,303.348,703.6476,264.9459,101.5761,209.6508,312.7759,292.935,222.8059,675.7673
501.1301,268.7974,342.7556,341.2771,554.2851,667.2548,544.4226,667.5977,269.9532,725.249,544.7857,243.7783,224.5545,194.0213,176.1192,491.8678,176.2188,93.44108,227.2744,554.2851
677.0378,106.9564,138.8182,147.012,533.2817,319.2202,648.101,546.4762,407.7037,401.1505,390.1137,135.3487,310.323,978.3001,416.5832,475.0783,219.2918,461.0678,244.2488,533.2817
700.1781,121.8961,164.9864,335.8855,648.4834,679.2992,573.7861,668.3263,461.1449,778.0352,305.5259,149.742,452.6752,1002.068,212.4251,503.5383,146.7438,408.5141,223.6883,648.4834
423.7385,130.4172,1040.325,995.2526,393.5264,526.6767,472.1147,803.7694,707.6769,871.85,490.3545,187.4492,263.9082,1074.309,206.6043,531.7304,127.3548,265.4055,210.6816,393.5264
614.3107,263.1857,761.8013,386.144,334.4918,687.3507,629.2043,793.6653,573.3598,711.5568,330.4886,137.9818,175.5347,327.3063,589.0533,555.347,481.6316,569.0574,364.5244,334.4918
325.966,246.2991,507.2503,376.1804,349.9347,759.2163,483.8077,695.3617,605.489,749.0041,398.9881,79.50176,58.34054,414.3853,435.121,487.7603,263.3769,340.2314,732.3354,349.9347
486.3918,152.676,519.6354,739.0445,683.1192,677.7636,629.4596,782.2342,467.0692,790.1729,366.6195,279.1574,313.363,710.5588,464.4607,395.932,282.3572,501.8981,543.5055,683.1192
484.1351,263.0417,144.7279,731.4512,255.8371,611.0282,586.12,672.5187,474.3105,658.3673,380.4447,278.2036,191.0081,449.3724,280.9358,393.8643,78.7534,218.1567,342.9001,255.8371
613.4287,311.176,438.1396,536.6267,467.6298,664.5413,421.2175,619.5762,427.7828,702.2464,344.5369,266.905,109.3879,265.8222,394.8401,393.8643,186.6268,791.0173,499.1486,467.6298
579.4093,249.1893,396.4023,254.9473,376.659,724.2609,469.9186,584.5664,573.2502,527.7252,350.0613,325.9435,243.1355,281.6203,788.2514,77.459,46.37231,510.0965,169.6113,376.659
855.5289,234.1233,258.3371,206.5721,220.7844,672.0415,451.1583,428.7239,574.2892,699.4059,240.2214,181.1212,280.6248,650.7228,712.3817,160.7469,177.7151,659.2176,461.1321,220.7844
396.3949,507.2635,510.5964,78.56208,270.2977,1108.318,572.9339,507.985,778.7261,826.4925,389.5163,361.1642,466.5842,542.9923,528.6109,491.2721,388.9654,424.2799,541.7916,270.2977
611.3596,540.9984,488.5122,53.14535,696.5246,356.0925,613.419,603.4419,419.8268,713.5461,249.7599,495.1352,599.8152,455.1521,764.3007,235.336,387.1889,512.715,182.8846,696.5246
426.9326,248.4,330.143,675.1785,315.2012,785.5507,611.1201,554.2129,221.8728,703.501,311.0155,492.8193,206.6793,695.7887,527.3512,339.4307,651.7729,606.0668,325.2415,315.2012
629.372,371.5096,265.7726,477.8481,466.3537,862.5178,589.5516,543.9401,587.4038,557.8943,249.6098,497.8804,509.6707,290.3411,208.4676,375.9331,537.2613,418.9742,351.2264,466.3537
735.284,62.83226,227.948,240.7306,239.8577,621.4496,807.267,1123.75,606.1826,627.0902,351.2142,367.7605,450.6682,425.6191,1101.536,605.0474,285.1719,326.3294,497.6925,239.8577
614.0984,229.8448,302.2639,170.9187,539.6786,920.5332,428.6281,449.6688,429.033,669.602,235.6909,314.495,574.3195,192.3523,937.5537,419.975,890.8868,689.1743,646.8012,539.6786
308.7078,164.7085,680.2301,1107.407,522.4212,392.5336,408.8967,615.8446,741.8385,481.2076,379.5432,262.9248,306.1261,465.005,1342.822,237.4089,679.033,541.2588,1224.561,522.4212
893.2794,204.1974,585.9683,1034.049,760.155,959.0569,793.5337,756.9589,620.4969,734.3502,227.9025,552.193,610.6072,182.688,542.9244,487.2278,350.5684,556.0914,398.8723,760.155
819.0317,527.5956,906.4612,730.9862,406.7893,451.2917,423.4121,901.8162,517.8963,961.3958,182.1722,172.8209,825.5884,180.2945,274.0441,546.3426,369.6597,450.0755,516.2311,406.7893
716.1814,211.9354,465.827,681.0507,245.8173,616.5845,800.8228,973.736,664.9402,878.4728,405.2078,358.1061,644.5467,672.1498,1178.528,430.9648,274.0316,237.8198,497.4547,245.8173
