Cm0_caa_gly,Cm2_caa_gly,Cm4_caa_gly,Cm8_caa_gly,Cm12_caa_gly,Cm0_caa_glu,Cm2_caa_glu,Cm4_caa_glu,Cm8_caa_glu,Cm12_caa_glu,Cm0_gly,Cm2_gly,Cm4_gly,Cm8_gly,Cm12_gly,Cm0_glu,Cm2_glu,Cm4_glu,Cm8_glu,Cm12_glu,,
0.488299,0.862169,0.771246,0.748153,0.691802,0.853729,0.550336,0.845968,0.750473,1.370183,0.281715,0.60956,0.552732,0.787998,3.101355,0.490784,0.517038,0.593371,0.797135,0.691802,,
0.564271,0.633301,0.656415,0.665807,1.178051,0.656041,0.600676,0.632113,0.639689,0.88967,0.288271,0.524872,0.574302,1.25892,0.79102,0.46084,0.35314,0.617469,0.673202,1.178051,,
0.272776,0.494389,0.897283,0.89253,1.580476,0.672961,0.714212,0.559442,1.171508,1.274381,0.347473,1.194905,0.662304,0.58438,1.225994,0.442716,0.131424,0.601349,0.643472,1.580476,,
0.335232,0.543437,0.60203,0.716332,1.093285,1.16701,0.976102,0.60363,0.772631,0.887912,0.374755,0.597685,0.60773,0.599989,1.716279,0.187335,0.385114,0.614945,10.49558,1.093285,,
0.438711,0.701568,0.908911,0.573779,1.305165,0.526004,0.553978,0.505996,0.826089,0.931585,0.2805,0.519915,0.584678,0.793069,1.889654,0.200432,0.437638,0.602045,1.126771,1.305165,,
0.428361,0.495274,0.887848,0.774004,0.630036,0.755293,0.640065,0.69167,0.429853,0.80435,0.416285,0.451172,0.712422,0.63663,2.053424,0.444009,0.400877,1.091866,1.421428,0.630036,,
0.533781,1.19627,1.918404,0.812153,1.273055,0.512991,0.682454,0.762631,0.449489,0.688761,0.4215,0.76278,0.822254,0.761317,0.933071,0.451323,0.446575,0.876579,0.801627,1.273055,,
0.557304,0.388945,1.084425,0.836698,1.201094,0.765355,0.623127,0.790084,0.613594,1.34678,0.335153,0.608027,0.80103,0.676904,2.049233,0.566965,0.203453,0.622667,1.029688,1.201094,,
0.537778,0.346077,0.665135,0.66719,0.889604,0.559497,0.768682,0.852226,0.85498,0.934054,0.424344,0.792533,0.958144,0.742247,4.015038,0.538298,0.218791,0.642183,0.605148,0.889604,,
0.448375,0.861072,0.723762,0.944673,1.703101,0.735992,0.692729,0.765066,0.923313,0.886105,0.3354,0.570895,0.681045,1.733848,1.585685,0.569856,0.547666,0.658638,0.987284,1.703101,,
0.344208,0.719476,1.097099,1.116407,1.592802,0.735075,0.547282,0.731844,0.727705,0.800733,0.285696,0.221843,0.881518,0.883977,1.077675,0.499619,0.228842,0.99029,0.714166,1.592802,,
0.503907,0.575845,0.64555,0.663719,1.155652,0.80681,0.687576,0.799366,0.86878,0.915962,0.292897,1.064036,0.606474,0.81136,0.86685,0.389711,0.526212,1.04928,0.641019,1.155652,,
0.443554,1.093624,0.415972,0.691883,1.179265,0.692513,0.722132,0.685361,0.574952,0.956183,0.273428,0.736815,0.663719,1.180697,1.719961,0.331166,0.174023,0.680413,1.057612,1.179265,,
0.514131,0.453236,0.760069,0.773274,1.126415,0.654805,0.462994,0.804286,0.847282,0.684471,0.281858,0.862536,5.551984,1.032581,1.149564,0.331166,0.372487,0.569132,0.55022,1.126415,,
0.592212,0.412568,0.512187,1.467054,1.384047,0.813109,0.537548,0.647852,0.804264,1.01118,0.274257,1.214763,0.91036,1.615774,0.816264,0.078167,-1.31663,0.719889,0.630641,1.384047,,
