Cm0_caa_gly,Cm2_caa_gly,Cm4_caa_gly,Cm8_caa_gly,Cm12_caa_gly,Cm0_caa_glu,Cm2_caa_glu,Cm4_caa_glu,Cm8_caa_glu,Cm12_caa_glu,Cm0_gly,Cm2_gly,Cm4_gly,Cm8_gly,Cm12_gly,Cm0_glu,Cm2_glu,Cm4_glu,Cm8_glu,Cm12_glu
1292.994,255.0149,499.1285,286.566,784.3707,383.4943,849.1194,938.7326,554.6021,646.4347,1020.466,328.9297,1206.073,730.3956,47.12505,872.8983,454.5581,624.6141,466.1904,784.3707
1052.273,1805.992,1407.176,880.6423,162.0525,1009.34,860.7874,1169.613,731.0741,913.0463,941.7853,989.7144,1232.266,224.1584,845.0617,1086.48,1270.659,648.0908,574.9252,162.0525
1271.94,629.2624,211.6653,583.0999,137.2356,874.38,802.7889,936.5141,874.5161,683.5708,1596.9,124.1999,1146.63,271.494,611.1511,1023.113,557.442,457.3586,627.1215,137.2356
1253.191,548.9529,1516.313,1235.925,408.3195,779.1337,802.7962,805.3009,615.6447,793.4295,1371.165,390.2274,292.3188,829.2672,121.736,877.5834,169.0489,595.5944,12.54364,408.3195
1485.817,195.298,289.5606,576.3161,517.7637,1030.892,519.2755,527.7452,731.2728,892.0675,1435.611,583.4565,1203.478,334.0769,53.75382,1045.992,714.6912,486.5669,197.7384,517.7637
1169.878,542.7248,386.0521,440.9244,879.7679,883.4383,850.5743,965.1968,628.0125,901.6583,1308.684,540.323,315.1986,304.763,85.76857,1107.789,439.5828,85.57929,159.8916,879.7679
1268.382,89.40823,72.36132,181.0151,418.8994,622.2727,949.6632,716.5668,907.0376,582.4235,925.5367,177.4414,377.4051,1285.01,446.4644,1052.634,491.0521,525.9856,304.6912,418.8994
1256.367,313.4021,152.1418,401.4417,539.9104,887.5608,920.8169,845.8927,751.5477,577.7002,911.6017,246.2753,565.1162,1480.368,103.6608,888.1296,721.2656,656.072,217.2389,539.9104
787.943,376.8446,1564.079,1491.707,442.3612,941.3404,614.187,943.1411,827.7115,933.4046,1155.558,236.5192,275.4367,1447.374,51.4576,987.7993,582.083,413.2864,348.1491,442.3612
1370.082,305.6488,1052.558,408.7594,196.4016,933.9101,908.2978,1037.381,620.9809,803.0163,985.3569,241.6939,257.7433,188.7745,371.4819,974.5395,879.4258,863.9906,369.2196,196.4016
947.0026,342.3315,462.3558,336.9562,219.6975,1032.842,884.0183,950.1505,832.0533,935.3976,1396.549,358.3702,66.18188,468.7737,403.759,976.264,1150.913,343.5675,1025.441,219.6975
965.2413,265.1337,804.9501,1113.49,591.1114,840.0535,915.4766,978.5682,537.6151,862.6695,1251.701,262.3572,516.6961,875.7631,535.8027,1015.963,536.5842,478.3263,847.877,591.1114
1091.491,240.5229,347.9266,1057.19,216.9463,882.3343,811.652,981.2625,824.9568,688.5372,1391.39,377.576,287.7847,380.5992,163.3385,1189.325,452.5447,320.6239,324.2212,216.9463
1193.137,686.565,576.4468,693.9675,415.1487,1014.869,909.7686,770.3427,504.8882,1025.97,1222.38,309.4421,19.70248,257.4348,343.4694,1189.325,501.0291,1389.865,907.1794,415.1487
978.3809,603.9958,773.9404,173.7819,272.1432,890.7301,874.1898,902.314,712.7637,521.8905,1276.4,268.3187,267.0763,174.2943,965.6823,990.9416,-35.2206,708.5763,268.9506,272.1432
1093.443,312.6061,215.3754,155.0083,191.7936,837.8425,1100.062,701.1642,693.9619,680.3272,821.5653,553.1052,342.1133,807.6706,720.515,436.2888,404.9105,746.6989,682.2542,191.7936
905.5438,657.9736,628.123,156.6377,212.6244,949.6313,844.8393,510.7986,1081.281,900.0496,1184.257,749.6276,642.0295,829.9341,449.6914,1024.297,831.1307,529.4397,915.0946,212.6244
1303.554,454.3634,680.772,114.1481,983.1997,970.1333,803.8095,1030.752,590.2529,781.6336,916.0153,817.6743,743.6183,562.079,759.0785,687.3171,807.5419,619.3502,297.769,983.1997
954.4481,568.1278,714.1747,985.436,167.6302,1065.172,955.9107,926.7235,366.306,770.0894,880.3765,565.1795,91.27475,765.9675,554.2429,792.2275,1053.016,807.4285,632.7603,167.6302
1160.837,454.28,344.023,504.3503,343.6755,952.683,925.8631,876.2946,722.0728,553.0168,1202.139,940.7581,764.2182,623.9058,284.5778,931.2551,1041.593,705.2708,399.9334,343.6755
1292.295,215.5243,158.5813,313.271,191.1353,882.4753,1084.186,1202.402,675.6917,696.396,1067.963,732.3974,518.3101,571.6968,1233.578,1047.616,776.2355,451.7621,553.7408,191.1353
1310.51,419.7679,571.1218,285.3892,576.5218,1230.346,804.5948,907.7767,828.1235,649.355,1113.049,564.3321,577.6436,179.464,1077.789,1004.349,1806.87,1237.467,960.2313,576.5218
682.7083,522.3687,929.7004,1433.273,399.9986,678.4795,893.1521,851.4271,935.7402,474.9243,1350.361,428.0065,373.4481,497.2382,1650.066,1112.568,1283.401,678.841,2000.203,399.9986
1066.033,294.1622,1033.006,1376.132,859.1612,1021.992,800.8053,1022.732,827.1352,824.6242,814.0994,1173.902,863.7316,130.8994,647.2629,1053.659,667.0444,608.7415,330.5485,859.1612
1156.457,904.5905,1371.47,864.832,625.2513,569.0809,800.5909,1114.855,633.3148,1442.253,689.3438,255.8944,1110.929,98.17037,196.5676,1036.901,784.8032,732.8397,554.833,625.2513
863.7296,191.8766,661.4401,912.797,175.6714,871.8818,782.1112,1203.877,755.5518,653.1609,1281.443,685.0881,1094.071,825.4791,1023.507,1030.754,445.3484,199.3666,800.2987,175.6714
1120.01,193.5088,936.0075,204.9196,564.2862,1067.081,914.9868,1126.96,1190.054,777.084,1376.536,440.1664,815.1113,580.1106,369.6424,917.052,214.1295,559.6079,647.7439,564.2862
1110.749,186.4748,1242.574,830.9724,1317.604,973.2421,827.8669,690.3967,877.7159,531.2425,1178.058,673.7512,830.7855,1149.947,404.3354,842.263,709.5875,495.8503,1268.212,1317.604
1140.008,532.7697,353.0474,811.374,144.1662,861.0638,689.2876,647.9691,879.2595,690.5497,1384.74,565.1426,447.4703,533.3323,686.7654,868.9066,680.5527,114.5114,1658.199,144.1662
927.4356,515.0283,864.4005,291.0045,166.8452,982.0923,781.2418,876.1302,1200.77,751.9206,1453.58,587.2154,967.727,711.5373,674.5828,1068.047,379.2539,134.8349,515.2596,166.8452
1032.379,572.9317,989.1285,312.6307,501.8063,994.6758,769.1914,992.9293,1092.207,735.2185,1169.399,1086.015,772.8566,775.2958,107.9337,1303.108,659.5442,571.399,302.343,501.8063
963.3427,631.5883,839.3203,280.7621,483.7408,687.5072,995.6102,1031.537,1125.919,498.9967,1040.832,879.6607,414.8317,370.1571,360.8857,1098.053,390.531,696.0398,414.0168,483.7408
1239.89,260.0818,585.5669,154.281,476.2441,969.7717,795.6066,920.3082,709.5805,677.5051,1263.152,1621.626,189.9235,104.2782,885.983,993.9821,514.7633,427.6813,342.6519,476.2441
999.9505,279.4349,837.1311,419.7895,733.6273,1124.257,811.1588,1038.85,1021.619,690.4455,806.2472,458.0139,384.9668,851.8507,364.3779,887.8385,544.2107,940.0869,179.2043,733.6273
993.3192,311.6238,283.9904,607.8237,1021.979,1128.685,901.349,1040.827,903.1785,489.0063,857.8179,301.1645,438.016,504.4113,278.3103,975.9301,704.5736,286.8491,223.5302,1021.979
801.5048,443.8374,1093.358,786.0906,721.313,1128.685,849.8011,1123.15,877.1082,598.7375,1434.482,441.8191,289.4063,228.3471,910.1218,1068.695,1834.273,614.7905,428.0127,721.313
1228.763,1145.064,990.6331,843.813,1522.993,1042.482,772.7804,921.9498,572.5672,781.7413,1158.3,764.5071,456.3431,1088.136,216.1262,1092.398,1565.799,348.4193,336.4781,1522.993
1075.738,508.4262,2284.44,1033.832,266.4377,904.5572,864.5777,1038.812,688.9525,708.9102,1247.304,386.0238,193.8157,352.4164,856.1559,912.0651,2092.59,1036.884,365.3223,266.4377
882.1777,1462.673,951.5558,316.4623,223.2361,822.3112,967.317,588.0264,980.1555,593.4447,470.3775,663.0759,655.8056,1310.262,489.725,1215.23,1916.8,994.9445,299.8588,223.2361
923.3947,321.2166,1639.026,355.6772,513.7628,849.2744,954.8193,1009.753,478.1873,529.253,529.3896,381.9208,1540.005,1170.741,205.8992,637.9492,1882.104,780.0045,374.6834,513.7628
1298.315,318.8211,456.3277,104.626,291.0575,370.917,853.1314,935.0777,579.2341,653.4028,1061.429,510.1415,535.0254,675.6814,937.5255,888.2837,989.8275,331.8699,306.9833,291.0575
1089.402,332.7063,830.2011,502.7534,861.602,982.0514,914.0589,1232.624,757.2131,926.62,974.37,434.4947,374.2995,173.9003,665.8126,1110.77,532.2808,595.5612,524.8541,861.602
1310.61,717.7891,586.4147,171.7482,500.6768,869.543,811.1023,936.1856,896.8826,690.6093,1640.744,805.3412,759.4073,129.6604,607.1223,1019.34,814.3414,594.8975,596.297,500.6768
1277.146,483.7293,940.2831,368.7843,916.2055,830.8794,848.6435,805.5736,619.4049,813.8046,1374.953,182.4809,306.2313,635.9033,236.9198,877.1232,940.0785,271.6945,221.2892,916.2055
1517.308,680.4369,1179.44,675.394,551.0808,1035.165,468.5228,508.1522,738.2831,954.9015,1506.666,393.7258,519.3143,554.3826,832.4554,1053.974,1475.756,117.5068,209.9061,551.0808
1213.148,1060.429,1312.905,200.2708,1860.656,894.7603,871.141,968.7801,634.424,921.7344,1329.118,778.6373,1315.825,205.8122,323.3052,1149.395,1311.482,517.2735,312.4787,1860.656
1327.999,317.2411,135.8857,908.5623,474.6616,638.5309,970.1219,759.1582,927.5118,660.5266,836.7905,827.3501,568.2201,376.9729,341.6446,1064.972,1243.479,946.2023,283.4084,474.6616
1327.512,775.2196,1005.286,303.8837,278.4109,894.3576,931.9977,860.0431,770.164,616.0055,939.9975,226.9676,1498.524,1196.839,283.6703,902.196,858.0047,121.6994,917.2166,278.4109
779.1551,365.9995,812.5089,295.8803,579.5123,958.3227,605.8109,971.2171,854.2068,970.1239,1208.017,999.1746,423.3327,207.2668,273.9921,1027.176,734.9031,653.2171,318.1603,579.5123
1442.9,307.1686,795.7516,1507.761,350.7333,969.7765,912.6863,1090.334,652.4308,808.9675,975.4845,249.4714,506.3558,523.7288,67.43446,1009.162,725.04,581.2658,907.391,350.7333
971.9437,1030.413,819.8249,1069.117,161.2927,1064.439,906.2148,970.8554,859.2144,958.2505,1424.844,610.8816,1097.301,261.3888,907.6528,1056.778,1050.306,224.8563,371.7628,161.2927
1004.037,1216.899,557.6176,814.6294,468.1907,853.2628,935.1564,1026.684,528.9608,911.0457,1347.351,727.3273,823.3302,254.9409,540.1436,1063.111,922.8822,124.0208,382.4473,468.1907
1156.668,524.1587,558.7946,1259.996,418.887,917.6731,825.8795,982.6421,852.0452,700.8815,1441.447,977.3212,696.9467,299.6764,416.0487,1228.625,395.8041,657.1059,101.26,418.887
1216.173,1020.733,240.1582,1202.475,292.9326,1013.17,963.4708,766.9733,511.0673,1061.043,1241.518,853.9272,677.6568,264.7337,437.9848,1228.625,921.1927,919.7786,193.9866,292.9326
1014.946,1230.944,564.3748,1664.7,303.8599,964.022,926.7932,902.2636,763.108,551.6306,1313.513,687.4966,732.3122,212.4724,471.8377,1043.897,546.982,175.1731,412.1222,303.8599
1104.888,866.2684,920.8915,1232.259,476.2034,819.4529,1128.544,744.8722,704.95,706.1276,839.4573,1721.603,828.3421,134.2586,1145.957,439.7335,1217.286,260.5077,958.8597,476.2034
938.4338,941.0803,438.6889,1444.036,759.2953,958.5771,834.7037,521.6801,1110.534,921.4687,1179.84,893.7407,661.6471,119.5799,636.1551,1046.431,180.8702,379.9075,250.6532,759.2953
1348.147,74.21224,389.925,1172.022,472.8202,1003.418,850.1388,1066.638,594.4527,808.3625,914.9517,350.4313,520.934,105.4676,778.4215,763.0769,1027.937,891.5248,817.2954,472.8202
963.7242,428.2107,1523.761,323.4154,1014.036,1054.045,1012.883,1029.565,344.1817,809.4626,921.3796,1490.579,728.2733,345.0371,562.8589,833.4077,627.5556,1460.065,302.6062,1014.036
1248.027,423.276,480.6683,958.0432,54.67908,991.2296,946.9068,924.312,771.8091,566.8166,1234.358,392.1514,1521.97,213.6936,979.9978,933.5745,625.5375,814.1348,560.8266,54.67908
1333.101,1089.93,962.8815,392.2602,818.9492,929.8999,1087.142,1242.674,689.1151,707.6492,1094.795,421.6556,210.9066,633.9733,1661.592,1064.119,430.5347,464.7928,208.5006,818.9492
1362.899,1186.85,174.6653,732.1686,124.6537,1284.326,816.9507,906.0639,811.2018,662.1279,1109.852,365.048,159.494,139.0134,1972.063,1041.929,255.4647,922.0255,408.2371,124.6537
674.602,1170.438,760.5685,1056.931,191.3193,697.418,922.6456,844.962,970.9416,478.2124,1369.423,413.2675,596.6753,142.6552,607.8511,1142.831,921.2584,404.0548,991.5475,191.3193
1139.507,1310.036,1032.422,681.0789,554.8577,1095.043,827.3229,1036.676,827.0709,830.9661,851.2735,279.0592,324.3882,293.6502,571.7804,1076.247,354.8659,644.8307,214.2475,554.8577
