lambda,fr,ns,cl
0.0066667,0.13452,0.08,0
0.0055,0.22116,0.08,2
0.004,0.285,0.08,4
0.0031667,0.31464,0.08,8
0.002,0.47956,0.08,12
0.0095,0.1748,0.11542,0
0.0083333,0.23028,0.11542,2
0.0065,0.28196,0.11542,4
0.005,0.304,0.11542,8
0.0038333,0.37696,0.11542,12
0.011833,0.17024,0.16651,0
0.0095,0.23788,0.16651,2
0.0063333,0.3306,0.16651,4
0.0038333,0.35948,0.16651,8
0.0023333,0.39824,0.16651,12
0.016667,0.21812,0.24022,0
0.0145,0.2584,0.24022,2
0.011167,0.28424,0.24022,4
0.0071667,0.35796,0.24022,8
0.0046667,0.43852,0.24022,12
0.021833,0.31464,0.34657,0
0.015,0.36176,0.34657,2
0.0076667,0.46968,0.34657,4
0.0033333,0.5434,0.34657,8
0.0018333,0.5966,0.34657,12
0.026333,0.35416,0.5,0
0.019667,0.38,0.5,2
0.014833,0.44384,0.5,4
0.0051667,0.52516,0.5,8
0.0021667,0.58444,0.5,12
